index,prediction
35485,4.5 centimetre
35486,4.5 centimetre
35487,110 volt
35488,
35489,21.5 centimetre
35490,59 pound
35491,32 centimetre
35492,13.25 inch
35493,23 centimetre
35494,23 inch
35495,23 inch
35496,2.1 ounce
35497,18.25 inch
35498,30 centimetre
35499,120 centimetre
35500,265 metre
35501,265 metre
35502,
35503,
35504,160 metre
35505,160 metre
35506,160 metre
35507,6.00 centimetre
35508,
35509,6.9 pound
35510,
35511,93 centimetre
35512,93 centimetre
35513,
35514,90 centimetre
35515,3.6 volt
35516,6 centimetre
35517,18 centimetre
35518,17.72 inch
35519,2.75 inch
35520,8 inch
35521,23 centimetre
35522,113.6 millimetre
35523,110 metre
35524,110 metre
35525,2.98 pound
35526,37.6 centimetre
35527,
35528,19.0 centimetre
35529,37.5 centimetre
35530,5 pound
35531,
35532,5.50 centimetre
35533,
35534,1000 watt
35535,3 inch
35536,3 inch
35537,7 inch
35538,7 inch
35539,
35540,
35541,97 inch
35542,94 centimetre
35543,94 centimetre
35544,94 centimetre
35545,120 volt
35546,5 watt
35547,
35548,
35549,73.62 inch
35550,200 metre
35551,200 metre
35552,907.21 gram
35553,240 volt
35554,70 watt
35555,3.15 inch
35556,
35557,40 centimetre
35558,29 centimetre
35559,3.48 inch
35560,235 gram
35561,6.5 inch
35562,6.5 inch
35563,6.5 inch
35564,4.72 inch
35565,16 centimetre
35566,6.29 inch
35567,
35568,39.5 foot
35569,20 centimetre
35570,20 centimetre
35571,270.5 centimetre
35572,5.25 inch
35573,8.25 inch
35574,18.5 centimetre
35575,18.5 centimetre
35576,18.5 centimetre
35577,41 centimetre
35578,200 centimetre
35579,9.56 inch
35580,3.74 inch
35581,6 inch
35582,6 inch
35583,85 centimetre
35584,85 centimetre
35585,450 metre
35586,10 centimetre
35587,7.875 inch
35588,7.875 inch
35589,7.875 inch
35590,1.22 inch
35591,36 inch
35592,
35593,70 inch
35594,2.6 inch
35595,3.9 inch
35596,17 inch
35597,27 inch
35598,20 centimetre
35599,20 centimetre
35600,20 centimetre
35601,19.8 metre
35602,19.8 centimetre
35603,70 centimetre
35604,
35605,80 centimetre
35606,58 centimetre
35607,12 centimetre
35608,454 gram
35609,450 pound
35610,54 centimetre
35611,12 inch
35612,29 centimetre
35613,29 centimetre
35614,29 centimetre
35615,7.1 inch
35616,5.9 inch
35617,86 metre
35618,
35619,8 centimetre
35620,
35621,4 inch
35622,1800 millimetre
35623,3.1 inch
35624,
35625,19.3 centimetre
35626,29.13 inch
35627,2.5 centimetre
35628,19.7 centimetre
35629,72.2 inch
35630,63 inch
35631,
35632,600 metre
35633,30 pound
35634,
35635,12 inch
35636,12 inch
35637,88.5 centimetre
35638,32 centimetre
35639,32 centimetre
35640,32 centimetre
35641,33 inch
35642,8 foot
35643,
35644,17.5 centimetre
35645,55 metre
35646,55 metre
35647,10 centimetre
35648,50.04 centimetre
35649,29.97 centimetre
35650,10.7 centimetre
35651,10.7 centimetre
35652,100 watt
35653,1 pound
35654,9.75 inch
35655,9.75 inch
35656,20 centimetre
35657,20 centimetre
35658,1.6 metre
35659,11.6 metre
35660,1.6 metre
35661,7 centimetre
35662,4.5 centimetre
35663,7.25 inch
35664,7.25 inch
35665,16 metre
35666,16 metre
35667,11.8 inch
35668,38 centimetre
35669,76 metre
35670,100 metre
35671,40 centimetre
35672,240 centimetre
35673,240 centimetre
35674,8.65 inch
35675,8.65 inch
35676,8.65 inch
35677,100 centimetre
35678,186.6 centimetre
35679,7 ounce
35680,30 centimetre
35681,
35682,30 centimetre
