index,prediction
748919,"['Oa', '', ' ', '\x0c']"
916768,"['      ', ' ', '', ' ', '', 'GEPRAGTES', '', 'par Sitaram]', '', 'a UND GESCHUTZTE DESIGNS', '\x0c']"
459516,"['Serving Size: 1 Tablet (0.709 g) | Each serving contains (Approx. Values):', '', ' ', '', 'Ingredient Oty. / Serving', '', '*PHOSPHOcomplex® Silybin (Sillybum marianum) 200 mg', 'Dandelion (Taraxacum officinale) leaf extract - 10:1 100 mg', 'Kutki (Picrorhiza kurroa)rhizome extract - 0.5% Bitters 50 mg', 'Kasani (Cichorium intybus) seed extract - 1% Bitters 25 mg', 'Punarnava (Boerhavia diffusa) root extract - 0.07% alkaloids 25 mg', 'Bhui amla (Phyllanthus amarus) WP extract - 0.5% Bitters 25 mg', 'Amla (Phyllanthus emblica) fruit extract - 10% Tannins 25 mg', 'Licorice (Glycyrrhiza glabra) root extract - 5% Glycyrrhizin 25 mg', 'Vitamin E 10 mg', 'Piper nigrum fruit extract — 95% Piperine Smg', '', ' ', '', 'Nutrients Qty. / Serving', '', ' ', '', 'Energy 3.04 kcal', 'Carbohydrate 051g', '(Sugars) 02g', 'Protein 0.049', 'Fat 0.09 g', '', ' ', '', ' ', '', ' ', '', ' ', '', ' ', '', '""ZRDA values established as per ICMR 2010 for sedentary lifestyle-Men.', '**Z RDA not established by ICMR', '', ' ', '\x0c']"
459516,"[' ', '\x0c']"
731432,"['Sos ai ace', '', 'PSYLLIUM', '', 'HUSK', '', ' ', '\x0c']"
731432,"[' ', '', '   ', ' ', ' ', ' ', ' ', ' ', '  ', '    ', '', '¢ Naturally-Sourced Psyllium', '', 'SEER EERE', '', '* High strength 1400mg', 'per serving', 'a a aes eo Lo aie ss', '', 'PLANTAGO', '°', 'PLANT SEEDs =', '', 'Bao xT FRc', '', '|', '4', '', '* Suitable for Vegans & Vegetarians', '', 'SUEDE', '', ' ', '  ', '', '   ', '', 'Horbaach', '\x0c']"
731432,"['Directions: For adults, take two (2) vegan capsules', 'daily, preferably with a meal. Do not exceed stated dose.', '', 'Nutrition Information', '', 'Typically Per Daily Dose', '', 'HIGH ST eee eer', 'Psyllium Husk Powder 1400mg', '', 'mt) 4 SLE)', 'HUSK', '', 'PLANTAGO OVATA', 'PLANT SEEDS', '', 'Ingredients: Psyllium Husk Powder, Capsule Shell (Hy-', 'droxypropylmethylcellulose), Anti-Caking Agents (Mag-', 'nesium Salts of Fatty Acids, Silicon Dioxide).', '', 'May contain Sesame Seeds & Mustard. For allergens,', 'see the ingredients in bold.', '', 'Notice: Take this product with 220ml of fluids. Taking', 'this product without adequate fluid may cause the pos-', 'sibility of choking. Do not use this product if you have', 'difficulty swallowing. If you experience chest pain, vom-', 'iting or difficulty in swallowing or breathing after taking', 'this product, seek immediate medical attention. Do not', 'take before sleeping. Fibre products can affect the ab-', 'sorption of many medications. Do not take this product', 'within 1.5 hours of taking medication.', '', 'Free From: Artificial Colour, Artificial Flavour, Artificial', 'Sweetener, Preservatives.', '', 'SUITABLE FOR VEGETARIANS & VEGANS', '', 'HU16790 C', '', ' ', '', '3 6 a', '', ' ', '', 'Horbaach', '\x0c']"
731432,"[' ', '', '   ', '', 'Yara', 'FREE', '', ' ', '', 'A we', 'coy Si SOY', 'as', 'LANTAGO OVATA', 'LNT SEEDS', '', 'PrN a A', '', '3 6 ee bed YN pls', 'uy', '', 'FREE FROM', 'PRESERVATIVES', '', '    ', '    ', ' ', '', 'Horbaach', '\x0c']"
731432,"['   ', '', 'Horbaach', '', '100%', '', 'HIGHEST', 'QUALITY', '', '   ', '  ', '    ', '', '  ', '', 'aCe STRENGTH', '', 'pSYLLIUM', 'HUSK', '', 'PLANTAGO OVATA', 'PLANT SEEDS', '', 'Pr', '', 'Horbaach', '\x0c']"
731432,"['NEW LOOK.', 'SAME Nea» [Ee QUALITY.', '', ' ', '', '     ', ' ', '', 'Sm', 'Misauee PSYLLIUM', 'Tern mORon', '', 'PLANT SEEDS', '', 'Nh Y/', '\\ 4', 'FOOD', 'SUPPLEMENT w=) OD cAPsULes .', '365 VEGAN', 'me) oko Kova) fs', '', '~ Horbaach', '\x0c']"
149159,"['GroBe Kapazitat, Tiragfahigkeit bis zu 30KG', '', '4m. Das Material ist ca. 5mm dick und die Fugen sind verstarkt, so dass', 'W es sehr stark ist.', '', 'Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden j', '', 'O', 'A aufnehmen.', '', ' ', '', '=', '', ' ', '\x0c']"
308856,"[')', '', 'WILDFANG', '', '35cm', '', '14cm 15cm 16cm', '', '<10 kg 10-5kg 15-25kg 2545kg >45kg', '', ' ', '\x0c']"
281678,"['         ', '', '  ', ' ', '  ', ' ', '    ', '', ' ', '', ':', '‘', 'f 5', 'i Helps in ss )', '“— esteoarthritis Helps in', 'mee digestion', '“Reduces.', 'inflammation', '] 5', 'ae', '(MM', '', 'J', '', 'Anti-bacterial', 'properties ,', '', 'Helps in', 'PCOS', '', ' ', '\x0c']"
281678,"[' ', '', '1 Xoy VO) 1 aS', '', 'DC Saale Ne', 'HIGH IN ANTIOXIDANTS', '+ COMBATS DISEASES', '', ' ', '\x0c']"
